idx,time,x,y,yaw,mode,speed
269,1772512293.022228,415.816406,34.895275,2.590107,INT,7.847889
270,1772512293.102226,415.326508,35.211674,2.591351,INT,7.839974
271,1772512293.162232,414.690125,35.621414,2.593004,INT,7.836925
272,1772512293.242269,414.057739,36.027248,2.594627,INT,7.837107
273,1772512293.362241,413.318146,36.499969,2.596595,LK,7.832653
274,1772512293.482225,412.722351,36.879364,2.598259,LK,7.831940
275,1772512293.582202,412.030090,37.318512,2.600199,LK,7.841633
276,1772512293.682224,411.285492,37.788799,2.602260,LK,7.854579
277,1772512293.802237,410.536926,38.259392,2.604101,LK,7.863879
278,1772512293.862288,410.044434,38.568008,2.604812,LK,7.875445
279,1772512293.982208,409.396118,38.973541,2.605477,LK,7.886335
280,1772512294.082319,408.823090,39.331680,2.605215,LK,7.887954
281,1772512294.202237,408.180450,39.733795,2.604208,LK,7.891315
282,1772512294.322216,407.420654,40.211052,2.601869,LK,7.895343
283,1772512294.382221,406.778381,40.616760,2.599256,LK,7.894580
284,1772512294.462262,406.076630,41.063255,2.595532,LK,7.889031
285,1772512294.562221,405.330566,41.542442,2.591799,LK,7.883690
286,1772512294.682199,404.839905,41.859650,2.589609,LK,7.877452
287,1772512294.802221,404.200012,42.275513,2.586089,LK,7.869064
288,1772512294.902227,403.460693,42.760468,2.580253,LK,7.863585
289,1772512295.022211,402.826813,43.181534,2.574557,LK,7.854861
290,1772512295.042235,402.192047,43.608845,2.568028,LK,7.845329
291,1772512295.162241,401.586975,44.022179,2.561342,LC,7.836027
292,1772512295.282270,400.859497,44.527325,2.553105,LC,7.827473
293,1772512295.382244,400.240845,44.964096,2.546143,LC,7.820746
294,1772512295.522224,399.580994,45.436985,2.539133,LC,7.814426
295,1772512295.622217,398.852417,45.967010,2.531929,LC,7.806923
296,1772512295.702239,398.389832,46.307636,2.527261,LC,7.801547
297,1772512295.742228,397.782227,46.760086,2.520447,LC,7.795319
298,1772512295.862251,397.064667,47.302868,2.512474,LC,7.790247
299,1772512295.982263,396.483215,47.749432,2.506863,LC,7.787616
300,1772512296.102258,395.880280,48.217831,2.501360,LC,7.784504
301,1772512296.182245,395.295197,48.677303,2.496146,LC,7.781557
302,1772512296.302218,394.643555,49.194633,2.490472,LC,7.781240
303,1772512296.442197,393.832520,49.846600,2.484122,LC,7.780586
304,1772512296.462251,393.486877,50.127014,2.481557,LC,7.780454
305,1772512296.582233,392.916840,50.592510,2.477753,LC,7.781420
306,1772512296.702284,392.321259,51.082474,2.474778,LC,7.782561
307,1772512296.782235,391.740875,51.562538,2.472293,LC,7.783370
308,1772512296.902293,391.068054,52.121662,2.470390,LC,7.783581
309,1772512296.982295,390.477539,52.613693,2.469275,LC,7.785607
310,1772512297.062270,389.898010,53.097397,2.468674,LC,7.785754
311,1772512297.162229,389.264801,53.626255,2.469291,LC,7.785404
312,1772512297.282250,388.594727,54.184292,2.472229,LC,7.785308
